# P3-C resource byte comparison: www -> Android assets -> debug intermediate -> debug APK
# source resources=30; capacitor-added cordova.js and cordova_plugins.js excluded
path	www	android-assets	intermediate	apk
app-core.js	0a5ae42b518021a95a4a6d2c8dccd4cbf0f4c3feac00a2c2c7dea1d36c2a7c89	0a5ae42b518021a95a4a6d2c8dccd4cbf0f4c3feac00a2c2c7dea1d36c2a7c89	0a5ae42b518021a95a4a6d2c8dccd4cbf0f4c3feac00a2c2c7dea1d36c2a7c89	0a5ae42b518021a95a4a6d2c8dccd4cbf0f4c3feac00a2c2c7dea1d36c2a7c89
icon-192.png	48e5078385c990aa02f164874609dccb1108a54cdb8fb8882bdbfb3caaf38411	48e5078385c990aa02f164874609dccb1108a54cdb8fb8882bdbfb3caaf38411	48e5078385c990aa02f164874609dccb1108a54cdb8fb8882bdbfb3caaf38411	48e5078385c990aa02f164874609dccb1108a54cdb8fb8882bdbfb3caaf38411
icon-512.png	a558b0502031e078b7a3087779f2777dffe5f5f7f8ccb3869783cc28f776f3af	a558b0502031e078b7a3087779f2777dffe5f5f7f8ccb3869783cc28f776f3af	a558b0502031e078b7a3087779f2777dffe5f5f7f8ccb3869783cc28f776f3af	a558b0502031e078b7a3087779f2777dffe5f5f7f8ccb3869783cc28f776f3af
icon.svg	fb09a46eae6dcd7c165811710d8fb91ae47f4273bb7228711076ea016ce8ddbb	fb09a46eae6dcd7c165811710d8fb91ae47f4273bb7228711076ea016ce8ddbb	fb09a46eae6dcd7c165811710d8fb91ae47f4273bb7228711076ea016ce8ddbb	fb09a46eae6dcd7c165811710d8fb91ae47f4273bb7228711076ea016ce8ddbb
index.html	b03f64559f3815a8ea7b6879375daca1b57fa555220f0c5981cf6702b282ce48	b03f64559f3815a8ea7b6879375daca1b57fa555220f0c5981cf6702b282ce48	b03f64559f3815a8ea7b6879375daca1b57fa555220f0c5981cf6702b282ce48	b03f64559f3815a8ea7b6879375daca1b57fa555220f0c5981cf6702b282ce48
lib/app-ai.js	e55a286009b102129e2efe3e1bdc0a9dc8b9fbb2f1bd4884b02b56d8e20862d9	e55a286009b102129e2efe3e1bdc0a9dc8b9fbb2f1bd4884b02b56d8e20862d9	e55a286009b102129e2efe3e1bdc0a9dc8b9fbb2f1bd4884b02b56d8e20862d9	e55a286009b102129e2efe3e1bdc0a9dc8b9fbb2f1bd4884b02b56d8e20862d9
lib/app-backup.js	6871da9c87c906b943762a75c73573cbf9b9c13c84c40e8860652f3a3c8104e0	6871da9c87c906b943762a75c73573cbf9b9c13c84c40e8860652f3a3c8104e0	6871da9c87c906b943762a75c73573cbf9b9c13c84c40e8860652f3a3c8104e0	6871da9c87c906b943762a75c73573cbf9b9c13c84c40e8860652f3a3c8104e0
lib/app-capture.js	cbf3285f427c8aec7394b8305255a545e84c4ec8152faf0d1d8c6ce35da57a4b	cbf3285f427c8aec7394b8305255a545e84c4ec8152faf0d1d8c6ce35da57a4b	cbf3285f427c8aec7394b8305255a545e84c4ec8152faf0d1d8c6ce35da57a4b	cbf3285f427c8aec7394b8305255a545e84c4ec8152faf0d1d8c6ce35da57a4b
lib/app-content.js	82be748ea5719244cb725602a78599c1daff9a7fc349128d3e64eb7d76ab4289	82be748ea5719244cb725602a78599c1daff9a7fc349128d3e64eb7d76ab4289	82be748ea5719244cb725602a78599c1daff9a7fc349128d3e64eb7d76ab4289	82be748ea5719244cb725602a78599c1daff9a7fc349128d3e64eb7d76ab4289
lib/app-diagnostics.js	36f91c1b7612628e6b7fab7c6d99560afd132f72ecc6c3df4622ad5df3c78b54	36f91c1b7612628e6b7fab7c6d99560afd132f72ecc6c3df4622ad5df3c78b54	36f91c1b7612628e6b7fab7c6d99560afd132f72ecc6c3df4622ad5df3c78b54	36f91c1b7612628e6b7fab7c6d99560afd132f72ecc6c3df4622ad5df3c78b54
lib/app-model.js	0219c576a82d4df6fefe4dca62561c491f1b36c97d59de426afff7ccad41f94e	0219c576a82d4df6fefe4dca62561c491f1b36c97d59de426afff7ccad41f94e	0219c576a82d4df6fefe4dca62561c491f1b36c97d59de426afff7ccad41f94e	0219c576a82d4df6fefe4dca62561c491f1b36c97d59de426afff7ccad41f94e
lib/app-persistence.js	d31a3112044af28c5efe14f770ccec99e9a5a3ce18172d81d79376ce3d6aab50	d31a3112044af28c5efe14f770ccec99e9a5a3ce18172d81d79376ce3d6aab50	d31a3112044af28c5efe14f770ccec99e9a5a3ce18172d81d79376ce3d6aab50	d31a3112044af28c5efe14f770ccec99e9a5a3ce18172d81d79376ce3d6aab50
lib/app-setup.js	e7b000620da77777f0bd1cc5537d1f4a87aee0efc7aed6566d9248077a8ce112	e7b000620da77777f0bd1cc5537d1f4a87aee0efc7aed6566d9248077a8ce112	e7b000620da77777f0bd1cc5537d1f4a87aee0efc7aed6566d9248077a8ce112	e7b000620da77777f0bd1cc5537d1f4a87aee0efc7aed6566d9248077a8ce112
lib/app-transaction.js	e6df807a8330c618ce5d9e4b7a4087bfe7f07fbab1b32a8693a49908b71dea48	e6df807a8330c618ce5d9e4b7a4087bfe7f07fbab1b32a8693a49908b71dea48	e6df807a8330c618ce5d9e4b7a4087bfe7f07fbab1b32a8693a49908b71dea48	e6df807a8330c618ce5d9e4b7a4087bfe7f07fbab1b32a8693a49908b71dea48
lib/app-ui.js	84e3e97663c2a7525ff25432f335a5a422791c83e26f81014b34443d63b632e4	84e3e97663c2a7525ff25432f335a5a422791c83e26f81014b34443d63b632e4	84e3e97663c2a7525ff25432f335a5a422791c83e26f81014b34443d63b632e4	84e3e97663c2a7525ff25432f335a5a422791c83e26f81014b34443d63b632e4
lib/app-views.js	2ef2c72b6319feb3414fd07914804296d4f9fa7888a834b3d95f1a98b2fafa37	2ef2c72b6319feb3414fd07914804296d4f9fa7888a834b3d95f1a98b2fafa37	2ef2c72b6319feb3414fd07914804296d4f9fa7888a834b3d95f1a98b2fafa37	2ef2c72b6319feb3414fd07914804296d4f9fa7888a834b3d95f1a98b2fafa37
